dodegramDodegramm twelveZwölf L L dodecadegramDodekadegramm learnLerne studyStudiere educateBilde yourselfDich aboutÜber farFern eastOst asiansAsianten aEine kindArt ofVon middleMittel earthErde twentyeightAchtundzwanzig AB AB continuumKontinuum organizationOrganisation;
insultBeleidigen;1
spitSpucken ontoAuf faceGesicht headKopf;2
hitSchlagen anywhereIrgendwohin;3
showZeigen dispiseVerachtung likeWie lookSchaun downHerunter noKeine hornorEhre removeEntfernen takenGenommen ;4
humiliationDemütigung;5
EightAcht H  H octagramOktagramm hornorEhre comparisionVergleich comparingVergleichen compareVergleiche verglichenMatch dignityWürde heptagramSeptagramm septagramHeptagramm G G sevenSieben nineNeun I I nonagramNonagramm graceAnmut;6
EvilBöse eyesAugen lookSchauen badSchlecht harmingSchädigend  glanceBlicken insideInnerhalb eyesAugen determinedBestimmt controledKontrolliert;7
smileLächeln niceNett politeHöflich calmRuhig peaceFrieden;8
determinedBestimmt certainSicher calmRuhig factsFakten tenZehn decagramDekagramm J J;9
GuiltySchuldig judgeUrteilen estimateEinschätzen blameBeschuldigen hardHart edgyEckig solidFest maleMännlich concreteKonkret determinedBestimmt twoZwei lineLinie B B;10
WrongFalsche DisgustingWiderliche uglyHässliche uglyEklige untruthsUnwahrheiten LegitEchte LiesLügen conspiracyVerschwörung darkDunkel hiddenVersteckt twentythreeDreiundzwanzig  W W triacosigramTriaikosigramm;11
LaughLachen atÜber someoneJemanden withoutOhne reasonsGründe purposeZweck funSpaß joyFreude harmSchädigung badSchlecht;12
InvisibleUnsichtbarer hiddenVersteckt darkDunkel secretGeheim creativeKreative artKunst considerBetrachte;13
makeMachen homelessObdachlos poorArm creationErschaffung causationBewirkung fifeFünf pentagramPentagramm E E likeWie asAls communismKommunismus socialismSozialimus femaleWeibliches sexGeschlecht genderGeschlecht womenFrauen ladiesDamen grandmasOmas fleshFleisch meatFleisch tastyLecker yummySchmackhaft eatEssen nutrionNahrung foodEssen mealMahlzeit foodstuffNahrungsmittel superGrocery storeMarkt buyKaufen purchaseEinkaufen everydayAlltag lifeLeben eatEssen mealMahlzeit usualGewöhnlich normalizedNormalisiert buildingsGebäude buildersBauer farmersFarmer stoneStein onAuf stoneStein soonBald buildingGebäude houseHaus readyFertig doneGetan perfectPerfekte bestBeste optimumOptimale correctRichtige improvedVerbesserte workersArbeiter employeesArbeitnehmer moneyGeldRichReich taxationSteuererhabung sexualSexuelle pleasureVergnügen lustLust holidayUrlaub fuckFick intercourseGeschlechtsverkehr peaceFrieden satisfiedZufriedengestellt goodGute workArbeit workersArbeiter unionsGewerkschaften hexadecadegramHexadekadegramm hexadegramHexadekadegramm sixteenSechszehn P P continuumKontinuum;14
MobbingBullying bullyMobber;15
BadmouthSchlechtreden lowerSenken valueWert numberZahl worthWert hierarchyHierarchie heightHöhe lowerNiedriger higherHöher complimentKompliment flowersBlumen alkReden badSchlecht rhetoricsRhetrok lookSchauen glanceBlicken whereeverIrgendwohin thinkDenke yourDeinen partTeil okayGut sufficiantAusreichend goneGegangen elsewhereWoandershin;16
kissKüssen showZeigen loveLiebe compassionMitgefühl empathyEmpathie feelingsGefühle emotionsEmotionen;17
nobleEdel positivePositiv;18
StealKlauen theftDiebstahl robRauben takeNehmen whatsoverIrgendetwas anywhereIrgendwoher whomWer whatWas thingDing issueSache humansMenschen peopleVolk folkVolk peopleLeute animalsTiere petsHaustiere artKunst worthWert remembranceErinnerungen heritageErbe familiyFamlie hornorEhre dignityWürde prideStolz proudStolz takenGenommen purposefullyAbsichtlich humansMenschen;19
falseFalsche flagFlagge strategicallyStrategisch cooperativeKooperativ gameSpiel theoryTheorie mapKarte geographicallyGeographisch geologicGeologisch topographicTopographisch topologicTopologisch strategyStrategie spaceRaum roomRaum groundBoden earthErde foundationFundament planeFläche unitsEinheiten soldiersSoldaten marinesMarine battlefieldSchlachtfeld typesTypen determinationBestimmungs systemSystem orderOrdnung abstractAbstrakter syntaxSyntax treeBaum dimensionsDimensionen multiverseMultiversum P P continuumKontinuum multiverseMultiversum dimensionsDimensionen gameSpiel theoryTheorie optimizationOptimierung improvementVerbesserung andUnd asWie superiorityÜberlegenheit sublimeErhaben consciousnessBewusstsein awarenessBewusstheit;20
